(-2,3.9998952463304036)
(-1.8,3.2426094202237814)
(-1.6,2.5634750833938336)
(-1.4000000000000001,1.9629573208100493)
(-1.2000000000000002,1.4415212174419247)
(-1.0000000000000002,0.9996318582589527)
(-0.8000000000000003,0.6377543282306241)
(-0.6000000000000003,0.35635371232643426)
(-0.4000000000000003,0.15589509551587627)
(-0.2000000000000003,0.036843562768440606)
(-2.7755575615628914E-16,-0.00033580094637531294)
(0,-0.00033580094637619684)
(0.2,0.042566227900612305)
(0.4,0.1637253717608531)
(0.6000000000000001,0.36355646398722485)
(0.8,0.6424743379326061)
(1,1.0008938269498753)
(1.2,1.4392297643919107)
(1.4,1.9578969836115916)
(1.5999999999999999,2.5573103179617966)
(1.7999999999999998,3.2378846007954043)
(1.9999999999999998,4.00003466546529)
